date,cases_confirmed,cases_onset
2020-02-15,0,2
2020-02-16,0,2
2020-02-17,0,2
2020-02-18,0,4
2020-02-19,0,7
2020-02-20,0,12
2020-02-21,0,14
2020-02-22,0,18
2020-02-23,0,21
2020-02-24,0,31
2020-02-25,0,42
2020-02-26,0,58
2020-02-27,0,75
2020-02-28,0,100
2020-02-29,0,145
2020-03-01,3,204
2020-03-02,3,260
2020-03-03,5,337
2020-03-04,5,432
2020-03-05,8,590
2020-03-06,19,753
2020-03-07,26,958
2020-03-08,32,1230
2020-03-09,38,1534
2020-03-10,63,1950
2020-03-11,94,2471
2020-03-12,116,3105
2020-03-13,141,3934
2020-03-14,189,4916
2020-03-15,253,6046
